Period,Region,State,Year,Added & Replaced,Colony Loss,Colony loss %,Disease_unformated,Diseases %,Inventory,"Loss, Colony Collapse Disorder",Other causes %,Other Causes_unformatted,Other Pests %,Other pests_unformatted,Percent Colony Loss,Pesticides %,pesticides_unformatted,Renovated - Inventory,Renovated - Inventory Measured In Pct Of Colonies,Renovated - Inventory Pct,Unknown Causes %,Unknown_unformatted,Varroa Mites %,Varroa Mites_unformatted
OCT THRU DEC,Northeast,MASSACHUSETTS,2018,110,650,0.13,8.1,0.081,4900,,0.034,3.4,0.092,9.2,13,0.094,9.4,320,,7,0.053,5.3,33.20%,33.2
JUL THRU SEP,Midwest,INDIANA,2017,420,930,0.07,0.4,0.004,13000,,0.038,3.8,0.059,5.9,7,0.039,3.9,740,,6,0.02,2,13.90%,13.9
OCT THRU DEC,South,SOUTH CAROLINA,2016,760,1300,0.08,23.3,0.233,12000,,0.259,25.9,0.271,27.1,8,0.246,24.6,370,,2,0.019,1.9,29.00%,29
OCT THRU DEC,South,TEXAS,2017,3200,20000,0.07,7.1,0.071,127000,,0.038,3.8,0.214,21.4,7,0.029,2.9,1900,,1,0.052,5.2,33.90%,33.9
APR THRU JUN,South,ARKANSAS,2021,9000,1600,0.13,5.7,0.057,12500,410,0.02,2,0.219,21.9,13,0.028,2.8,5500,,44,0.036,3.6,42.20%,42.2
JUL THRU SEP,Midwest,SOUTH DAKOTA,2016,4200,25000,0.13,14.2,0.142,178000,,0.046,4.6,0.195,19.5,13,0.227,22.7,9500,,5,0.028,2.8,48.80%,48.8
JAN THRU MAR,Midwest,NORTH DAKOTA,2018,2600,3200,0.03,1.1,0.011,66000,,0.008,0.8,0.001,0.1,3,0,0,10,,,0,0,1.40%,1.4
JAN THRU MAR,Northeast,MASSACHUSETTS,2019,60,680,0.18,0,0,3800,50,0.063,6.3,0,0,18,0.043,4.3,20,,1,0.009,0.9,10.30%,10.3
JAN THRU MAR,Midwest,KANSAS,2016,1400,1100,0.22,0.1,0.001,5000,,0.024,2.4,0.1,10,22,0.011,1.1,100,,2,0.054,5.4,30.30%,30.3
JAN THRU MAR,South,LOUISIANA,2018,4100,3600,0.07,0.2,0.002,50000,,0.045,4.5,0.007,0.7,7,0.007,0.7,320,,1,0.016,1.6,4.90%,4.9
APR THRU JUN,West,HAWAII,2021,490,490,0.02,0,0,21000,180,,,0.608,60.8,2,0,0,1200,,6,,,92.60%,92.6
APR THRU JUN,West,HAWAII,2015,1100,120,0.01,0.3,0.003,13500,,0.032,3.2,0.61,61,1,0.001,0.1,1200,,9,0.001,0.1,60.10%,60.1
OCT THRU DEC,South,MARYLAND,2018,60,690,0.08,0.3,0.003,7000,,0.049,4.9,0.053,5.3,8,0.012,1.2,90,,1,0.017,1.7,16.60%,16.6
JUL THRU SEP,South,GEORGIA,2019,12000,13000,0.11,1.6,0.016,116000,8500,0.171,17.1,0.186,18.6,11,0.258,25.8,36000,,31,0.046,4.6,52.50%,52.5
OCT THRU DEC,South,ALABAMA,2020,750,1100,0.06,15.4,0.154,17000,70,0.023,2.3,0.432,43.2,6,0.02,2,60,,,0.169,16.9,50.80%,50.8
JAN THRU MAR,West,HAWAII,2015,3400,380,0.04,1.6,0.016,10500,,0.02,2,0.377,37.7,4,0,0,760,,7,0,0,38.80%,38.8
OCT THRU DEC,West,MONTANA,2015,1000,10000,0.08,14.4,0.144,116000,,0.032,3.2,0.198,19.8,8,0.114,11.4,80,,0,0.139,13.9,35.50%,35.5
OCT THRU DEC,West,NEW MEXICO,2017,1700,1900,0.24,0,0,8000,,0.1,10,0.003,0.3,24,0.103,10.3,,,0,0.01,1,86.10%,86.1
JUL THRU SEP,South,LOUISIANA,2018,1600,1900,0.04,0.2,0.002,53000,,0.01,1,0.299,29.9,4,0.017,1.7,2300,,4,0.016,1.6,31.30%,31.3
OCT THRU DEC,Midwest,MISSOURI,2016,1400,590,0.07,0.2,0.002,9000,,0.015,1.5,0.126,12.6,7,0,0,640,,7,0.007,0.7,16.10%,16.1
OCT THRU DEC,West,COLORADO,2020,930,5000,0.26,,,19000,150,0.009,0.9,0,0,26,0,0,20,,,0.015,1.5,14.90%,14.9
APR THRU JUN,South,ALABAMA,2020,4700,4100,0.48,1.6,0.016,8500,410,0.079,7.9,0.18,18,48,0.077,7.7,2600,,31,0.095,9.5,28.50%,28.5
JAN THRU MAR,South,MISSISSIPPI,2017,23000,2600,0.04,,,31000,,0.005,0.5,0.353,35.3,4,0.001,0.1,7000,,10,0.014,1.4,41.70%,41.7
APR THRU JUN,South,TEXAS,2022,83000,41000,0.1,,,345000,3000,0.052,5.2,0.3,30,10,0.007,0.7,114000,,27,0.009,0.9,39.20%,39.2
JUL THRU SEP,Northeast,NEW JERSEY,2021,390,400,0.02,,,19500,40,0.007,0.7,0.049,4.9,2,0.018,1.8,480,,2,0.019,1.9,10.70%,10.7
JAN THRU MAR,West,NEW MEXICO,2018,180,3900,0.52,0,0,7500,,0.094,9.4,0.005,0.5,52,0.013,1.3,0,,0,0.005,0.5,42.80%,42.8
JAN THRU MAR,West,COLORADO,2022,0,540,0.06,3.8,0.038,3800,120,0.034,3.4,0,0,6,0.006,0.6,10,,,0.026,2.6,4.00%,4
JAN THRU MAR,West,MONTANA,2022,30,300,0.01,0,0,45000,20,,,0,0,1,0,0,0,,0,,,0.50%,0.5
JAN THRU MAR,Midwest,IOWA,2016,90,2900,0.22,13.8,0.138,13000,,0.24,24,0.144,14.4,22,0.027,2.7,0,,0,0.048,4.8,52.80%,52.8
APR THRU JUN,West,IDAHO,2018,14500,6500,0.07,3,0.03,59000,,0.041,4.1,0.037,3.7,7,0.185,18.5,29000,,31,0.044,4.4,51.60%,51.6
OCT THRU DEC,Midwest,ILLINOIS,2018,600,1400,0.12,2.4,0.024,12000,,0.069,6.9,0.131,13.1,12,0.028,2.8,350,,3,0.057,5.7,27.20%,27.2
JAN THRU MAR,Northeast,NEW JERSEY,2022,1500,550,0.04,,,15000,40,0.006,0.6,0.039,3.9,4,0,0,30,,,0.018,1.8,13.30%,13.3
APR THRU JUN,West,WYOMING,2022,4500,1900,0.08,5.1,0.051,8000,580,0.03,3,0.025,2.5,8,0,0,1800,,8,0.01,1,5.60%,5.6
OCT THRU DEC,Northeast,NEW YORK,2020,2400,4100,0.08,,,52000,1700,0.045,4.5,0.072,7.2,8,,,5000,,10,0.041,4.1,19.20%,19.2
JAN THRU MAR,Midwest,IOWA,2022,610,2800,0.1,0.7,0.007,26000,500,0.016,1.6,0.13,13,10,0.009,0.9,30,,,0.051,5.1,29.70%,29.7
OCT THRU DEC,Midwest,ILLINOIS,2017,140,1800,0.13,0.8,0.008,13500,,0.049,4.9,0.102,10.2,13,0.079,7.9,460,,3,0.049,4.9,28.90%,28.9
OCT THRU DEC,Midwest,INDIANA,2017,320,1700,0.15,1.7,0.017,11500,,0.039,3.9,0.056,5.6,15,0.007,0.7,100,,1,0.08,8,23.50%,23.5
APR THRU JUN,West,CALIFORNIA,2018,172000,110000,0.09,11.1,0.111,1130000,,0.09,9,0.102,10.2,9,0.137,13.7,255000,,21,0.05,5,41.50%,41.5
JAN THRU MAR,West,WASHINGTON,2021,9500,5500,0.08,1,0.01,48000,1500,0.045,4.5,0.023,2.3,8,,,850,,1,,,14.80%,14.8
JUL THRU SEP,Northeast,MASSACHUSETTS,2018,850,2200,0.22,10.7,0.107,8000,,0.011,1.1,0.112,11.2,22,0.101,10.1,730,,7,0.103,10.3,75.90%,75.9
JUL THRU SEP,South,KENTUCKY,2017,450,1600,0.18,4.6,0.046,9000,,0.103,10.3,0.392,39.2,18,0.006,0.6,700,,8,0.062,6.2,46.40%,46.4
OCT THRU DEC,South,ALABAMA,2018,210,830,0.13,1.3,0.013,6500,,0.034,3.4,0.205,20.5,13,0.015,1.5,1300,,20,0.075,7.5,20.60%,20.6
JAN THRU MAR,South,TENNESSEE,2020,2200,2700,0.19,1,0.01,8000,410,0.041,4.1,0.173,17.3,19,0,0,130,,1,0.078,7.8,18.90%,18.9
JUL THRU SEP,West,WYOMING,2019,2500,3000,0.11,3.3,0.033,24000,1100,0.063,6.3,0.004,0.4,11,0.022,2.2,3500,,13,0.025,2.5,45.70%,45.7
JUL THRU SEP,South,SOUTH CAROLINA,2021,2500,2200,0.11,2.8,0.028,17000,90,0.043,4.3,0.053,5.3,11,0.013,1.3,460,,2,0.032,3.2,15.80%,15.8
APR THRU JUN,West,CALIFORNIA,2022,154000,82000,0.08,4.8,0.048,980000,6000,0.198,19.8,0.16,16,8,0.067,6.7,121000,12,,0.037,3.7,41.10%,41.1
OCT THRU DEC,South,NORTH CAROLINA,2020,200,2500,0.11,,,16500,2300,0.006,0.6,0.14,14,11,0.051,5.1,9000,,41,0.019,1.9,37.70%,37.7
APR THRU JUN,Midwest,MINNESOTA,2020,9000,13000,0.1,0.7,0.007,59000,870,0.044,4.4,0.029,2.9,10,0.088,8.8,2600,,2,,,20.60%,20.6
JUL THRU SEP,South,VIRGINIA,2020,910,1200,0.14,,,8500,160,0.041,4.1,0.083,8.3,14,,,730,,9,0.058,5.8,27.50%,27.5
OCT THRU DEC,West,WASHINGTON,2019,810,12500,0.13,0.6,0.006,89000,7000,0.029,2.9,0.023,2.3,13,0.196,19.6,100,,,0.032,3.2,40.30%,40.3
APR THRU JUN,Midwest,NEBRASKA,2018,4000,2100,0.05,1.4,0.014,10500,,0.09,9,0.014,1.4,5,0.042,4.2,900,,2,0.055,5.5,5.00%,5
JUL THRU SEP,West,NEW MEXICO,2016,2000,1100,0.17,55.2,0.552,6500,,0.017,1.7,0.554,55.4,17,0.241,24.1,1000,,15,0.007,0.7,59.50%,59.5
APR THRU JUN,Northeast,MASSACHUSETTS,2022,1200,290,0.02,0.9,0.009,5500,40,0.006,0.6,0.009,0.9,2,,,910,,7,,,3.70%,3.7
JAN THRU MAR,West,HAWAII,2017,510,190,0.01,0.2,0.002,13000,,0.001,0.1,0.021,2.1,1,0,0,50,,,0.001,0.1,1.20%,1.2
OCT THRU DEC,South,NORTH CAROLINA,2021,260,2100,0.1,0,0,21000,1900,,,0.014,1.4,10,,,360,,2,0.051,5.1,24.10%,24.1
APR THRU JUN,Midwest,MISSOURI,2021,2300,670,0.14,1.8,0.018,4800,40,0.083,8.3,0.088,8.8,14,0.009,0.9,670,,14,0.048,4.8,21.90%,21.9
JAN THRU MAR,South,NORTH CAROLINA,2020,2600,2500,0.1,4.8,0.048,15000,1900,0.014,1.4,0.071,7.1,10,0.006,0.6,490,,2,0.051,5.1,35.70%,35.7
JAN THRU MAR,West,HAWAII,2019,660,390,0.02,0.1,0.001,16500,80,0.029,2.9,0.649,64.9,2,0.007,0.7,3700,,22,0,0,72.10%,72.1
JAN THRU MAR,West,IDAHO,2018,2500,22000,0.13,0.8,0.008,164000,,0.034,3.4,0.057,5.7,13,0.034,3.4,2600,,2,0.004,0.4,28.30%,28.3
JUL THRU SEP,West,COLORADO,2016,1100,6500,0.18,16.8,0.168,33000,,0.106,10.6,0.224,22.4,18,0.246,24.6,740,,2,0.001,0.1,49.30%,49.3
JAN THRU MAR,South,VIRGINIA,2017,1900,1400,0.18,2.8,0.028,8000,,0.074,7.4,0.128,12.8,18,0.032,3.2,280,,4,0.084,8.4,21.40%,21.4
OCT THRU DEC,Midwest,MISSOURI,2017,100,820,0.09,1,0.01,9500,,0.042,4.2,0.142,14.2,9,0.001,0.1,230,,2,0.016,1.6,16.70%,16.7
JAN THRU MAR,Northeast,NEW YORK,2017,520,6000,0.18,9.8,0.098,32000,,0.132,13.2,0.094,9.4,18,0.044,4.4,0,,0,0.108,10.8,20.40%,20.4
OCT THRU DEC,South,TEXAS,2015,13000,25000,0.1,2.7,0.027,125000,,0.022,2.2,0.087,8.7,10,0.054,5.4,2000,,1,0.08,8,20.90%,20.9
OCT THRU DEC,South,KENTUCKY,2017,50,870,0.12,0.5,0.005,7500,,0.056,5.6,0.244,24.4,12,0.065,6.5,120,,2,0.191,19.1,54.30%,54.3
OCT THRU DEC,South,ARKANSAS,2019,430,1600,0.08,1.4,0.014,19000,560,0.125,12.5,0.397,39.7,8,0.078,7.8,310,,2,0.328,32.8,47.70%,47.7
JUL THRU SEP,Northeast,MASSACHUSETTS,2020,840,330,0.03,1.5,0.015,11000,40,0.012,1.2,0.016,1.6,3,0.008,0.8,810,,7,0.007,0.7,29.70%,29.7
APR THRU JUN,West,WYOMING,2016,7500,2600,0.1,1.2,0.012,6500,,0.025,2.5,0.026,2.6,10,0.006,0.6,580,,2,0.008,0.8,7.10%,7.1
JAN THRU MAR,South,TENNESSEE,2021,460,2200,0.16,1.4,0.014,12000,830,0.026,2.6,0.052,5.2,16,0.008,0.8,310,,2,0.089,8.9,34.40%,34.4
JAN THRU MAR,South,ALABAMA,2017,570,1600,0.23,0.2,0.002,7000,,0.067,6.7,0.098,9.8,23,0.032,3.2,740,,11,0.093,9.3,19.90%,19.9
JAN THRU MAR,South,TENNESSEE,2022,1300,2300,0.22,1,0.01,10500,590,0.033,3.3,0.051,5.1,22,,,200,,2,0.03,3,12.90%,12.9
JAN THRU MAR,Northeast,CONNECTICUT,2022,500,420,0.11,1.4,0.014,4000,70,0.035,3.5,0.023,2.3,11,,,170,,4,0.012,1.2,10.20%,10.2
JUL THRU SEP,Northeast,MAINE,2019,460,1100,0.09,0.1,0.001,11500,10,0.002,0.2,0.007,0.7,9,0,0,3500,,29,0.001,0.1,10.10%,10.1
JUL THRU SEP,West,COLORADO,2017,2900,4300,0.1,2.6,0.026,35000,,0.078,7.8,0.014,1.4,10,0.091,9.1,6410,,15,0.014,1.4,52.90%,52.9
JAN THRU MAR,Northeast,PENNSYLVANIA,2022,470,2800,0.11,,,23000,840,0.031,3.1,0.039,3.9,11,0.006,0.6,360,,1,0.03,3,14.60%,14.6
OCT THRU DEC,Northeast,VERMONT,2018,10,170,0.03,0,0,6500,,0.008,0.8,0.013,1.3,3,0,0,20,,,0.007,0.7,6.20%,6.2
JAN THRU MAR,Midwest,SOUTH DAKOTA,2017,1500,2700,0.06,0,0,21000,,0.002,0.2,0,0,6,0,0,440,,1,0.003,0.3,2.90%,2.9
APR THRU JUN,South,GEORGIA,2015,25000,23000,0.19,2.9,0.029,114000,,0.115,11.5,0.175,17.5,19,0.287,28.7,19000,,15,0.041,4.1,52.80%,52.8
JAN THRU MAR,South,WEST VIRGINIA,2017,450,800,0.1,0.2,0.002,5500,,0.119,11.9,0.01,1,10,0,0,100,,1,0.013,1.3,15.80%,15.8
JUL THRU SEP,West,OREGON,2020,13000,12000,0.1,3.8,0.038,102000,5500,0.071,7.1,0.025,2.5,10,0.005,0.5,28000,,23,0.024,2.4,42.40%,42.4
JAN THRU MAR,South,FLORIDA,2022,50000,24000,0.08,3.7,0.037,295000,3700,0.064,6.4,0.131,13.1,8,0.098,9.8,13500,,5,0.082,8.2,39.00%,39
OCT THRU DEC,South,WEST VIRGINIA,2018,50,1200,0.17,0.6,0.006,7000,,0.042,4.2,0.152,15.2,17,0.072,7.2,70,,1,0.068,6.8,29.50%,29.5
APR THRU JUN,West,OREGON,2022,12500,4200,0.04,9.5,0.095,94000,2800,0.175,17.5,0.232,23.2,4,0.161,16.1,19500,,20,,,49.30%,49.3
JUL THRU SEP,Midwest,IOWA,2015,640,3000,0.08,0.1,0.001,29000,,0.056,5.6,0.058,5.8,8,0.047,4.7,680,,2,0.034,3.4,17.40%,17.4
APR THRU JUN,West,OREGON,2018,17500,3400,0.03,8.1,0.081,41000,,0.156,15.6,0.035,3.5,3,0.066,6.6,24000,,22,0.002,0.2,46.10%,46.1
OCT THRU DEC,Midwest,IOWA,2020,700,4800,0.13,2.6,0.026,38000,1100,0.018,1.8,0.009,0.9,13,,,850,,2,0.014,1.4,39.80%,39.8
JAN THRU MAR,West,WASHINGTON,2017,8500,9000,0.09,0,0,68000,,0.08,8,0.001,0.1,9,0,0,0,,0,0.044,4.4,6.80%,6.8
APR THRU JUN,Midwest,WISCONSIN,2021,10000,2100,0.04,1.2,0.012,42000,670,0.011,1.1,0.193,19.3,4,0.151,15.1,7500,,13,0.022,2.2,26.10%,26.1
OCT THRU DEC,South,OKLAHOMA,2017,40,100,,0,0,3700,,,,0.005,0.5,,0,0,,,0,0.002,0.2,1.00%,1
JAN THRU MAR,Northeast,MASSACHUSETTS,2018,240,1000,0.27,0.8,0.008,3700,,0.096,9.6,0.011,1.1,27,0.008,0.8,290,,8,0.074,7.4,19.60%,19.6
OCT THRU DEC,South,TEXAS,2019,8000,17500,0.07,4.6,0.046,129000,1300,0.058,5.8,0.14,14,7,0.049,4.9,1700,,1,0.014,1.4,23.10%,23.1
JUL THRU SEP,Midwest,NORTH DAKOTA,2021,7500,67000,0.12,2.2,0.022,510000,1800,0.07,7,0.061,6.1,12,0.041,4.1,14500,,3,0.055,5.5,31.70%,31.7
OCT THRU DEC,Midwest,SOUTH DAKOTA,2015,2400,9000,0.04,1.9,0.019,194000,,0.024,2.4,0.03,3,4,0.071,7.1,0,,0,0.041,4.1,16.80%,16.8
APR THRU JUN,Northeast,MASSACHUSETTS,2020,870,630,0.05,,,4400,40,0.011,1.1,0.021,2.1,5,,,540,,4,,,14.70%,14.7
JAN THRU MAR,Northeast,VERMONT,2020,500,520,0.07,0.6,0.006,6500,60,0.02,2,0.008,0.8,7,0.009,0.9,70,,1,0.031,3.1,9.10%,9.1
JAN THRU MAR,Midwest,NORTH DAKOTA,2021,2700,180,,1,0.01,51000,8500,0.015,1.5,0.005,0.5,,,,0,,0,,,12.00%,12
JAN THRU MAR,West,MONTANA,2020,500,150,,0,0,18000,4500,0.005,0.5,0,0,,0,0,,,0,,,4.00%,4
JAN THRU MAR,West,ARIZONA,2022,4700,2300,0.08,3,0.03,25000,1300,,,0,0,8,,,10,,,0.005,0.5,14.80%,14.8
JAN THRU MAR,West,UTAH,2015,2500,3300,0.14,0.1,0.001,6000,,0.03,3,0.009,0.9,14,0.044,4.4,290,,1,0.005,0.5,13.60%,13.6
JAN THRU MAR,Midwest,MICHIGAN,2019,0,6500,0.2,1.5,0.015,24000,3300,0.122,12.2,0.058,5.8,20,0.002,0.2,0,,0,0.007,0.7,18.20%,18.2
JUL THRU SEP,Midwest,KANSAS,2019,190,1900,0.25,21.8,0.218,7500,310,0.012,1.2,0.338,33.8,25,0.239,23.9,400,,5,0.005,0.5,67.50%,67.5
JAN THRU MAR,Northeast,CONNECTICUT,2021,400,800,0.19,0,0,4200,160,0.016,1.6,0.035,3.5,19,0.005,0.5,50,,1,0.01,1,17.80%,17.8
JAN THRU MAR,Midwest,INDIANA,2018,300,1000,0.13,3,0.03,7000,,0.099,9.9,0.083,8.3,13,0.005,0.5,30,,,0.037,3.7,33.40%,33.4
APR THRU JUN,Northeast,PENNSYLVANIA,2015,8500,1600,0.08,2.6,0.026,15500,,0.067,6.7,0.058,5.8,8,0.016,1.6,2600,,14,0.021,2.1,11.40%,11.4
JUL THRU SEP,South,TENNESSEE,2016,340,950,0.1,1.3,0.013,10000,,0.062,6.2,0.231,23.1,10,0.024,2.4,290,,3,0.02,2,22.50%,22.5
JUL THRU SEP,West,CALIFORNIA,2020,61000,69000,0.1,7.3,0.073,640000,10500,0.081,8.1,0.114,11.4,10,0.063,6.3,108000,,15,0.036,3.6,33.90%,33.9
APR THRU JUN,Midwest,NORTH DAKOTA,2021,11500,6000,0.01,,,42000,7000,0.02,2,0.007,0.7,1,,,3600,,1,,,29.20%,29.2
APR THRU JUN,West,IDAHO,2022,35000,14500,0.13,5.6,0.056,103000,2800,0.095,9.5,0.131,13.1,13,0.137,13.7,8500,,8,0.035,3.5,32.60%,32.6
JAN THRU MAR,South,TENNESSEE,2016,180,1700,0.19,0.2,0.002,9000,,0.101,10.1,0.071,7.1,19,0.037,3.7,70,,1,0.109,10.9,19.70%,19.7
JAN THRU MAR,Northeast,PENNSYLVANIA,2017,810,4000,0.22,0.8,0.008,17000,,0.036,3.6,0.024,2.4,22,0.029,2.9,390,,2,0.072,7.2,20.90%,20.9
OCT THRU DEC,Midwest,IOWA,2017,250,6500,0.14,12.3,0.123,45000,,0.179,17.9,0.255,25.5,14,0.326,32.6,3400,,8,0.055,5.5,61.00%,61
JUL THRU SEP,Midwest,KANSAS,2017,1400,1700,0.24,14.8,0.148,7000,,0.011,1.1,0.526,52.6,24,0.203,20.3,1000,,14,0.074,7.4,65.40%,65.4
JUL THRU SEP,Northeast,PENNSYLVANIA,2020,2500,2200,0.08,1.2,0.012,27000,460,0.055,5.5,0.123,12.3,8,0.016,1.6,1200,,4,0.023,2.3,32.20%,32.2
OCT THRU DEC,Northeast,NEW JERSEY,2020,2000,310,0.02,0.5,0.005,18000,60,0.002,0.2,0.021,2.1,2,0.006,0.6,480,,3,0.007,0.7,6.80%,6.8
JUL THRU SEP,West,MONTANA,2018,3100,18500,0.12,18,0.18,145000,,0.218,21.8,0.185,18.5,12,0.068,6.8,22000,,14,0.027,2.7,43.80%,43.8
JAN THRU MAR,Midwest,OHIO,2022,30,1800,0.11,0.7,0.007,16000,980,0.022,2.2,0.048,4.8,11,0.017,1.7,530,,3,0.072,7.2,18.00%,18
OCT THRU DEC,South,MARYLAND,2019,390,1100,0.14,1.8,0.018,6500,260,0.003,0.3,0.045,4.5,14,0,0,420,,5,0.05,5,12.60%,12.6
OCT THRU DEC,West,IDAHO,2018,9000,15000,0.09,9.6,0.096,99000,,0.07,7,0.474,47.4,9,0.159,15.9,910,,1,0.045,4.5,64.90%,64.9
JUL THRU SEP,Midwest,MINNESOTA,2016,1300,26000,0.19,6.2,0.062,132000,,0.178,17.8,0.146,14.6,19,0.224,22.4,1900,,1,0.089,8.9,47.20%,47.2
APR THRU JUN,South,LOUISIANA,2020,2300,1800,0.03,0.5,0.005,53000,650,0.035,3.5,0.047,4.7,3,,,4700,,9,0.013,1.3,23.70%,23.7
OCT THRU DEC,West,NEW MEXICO,2016,1100,1600,0.23,7.2,0.072,7000,,0.008,0.8,0.003,0.3,23,0,0,20,,0,0.003,0.3,46.20%,46.2
JAN THRU MAR,West,UTAH,2019,900,1800,0.16,0.1,0.001,8500,3200,0.003,0.3,0,0,16,0,0,0,,0,0.088,8.8,22.90%,22.9
APR THRU JUN,Midwest,ILLINOIS,2021,3700,1100,0.08,1.6,0.016,12500,90,0.041,4.1,0.045,4.5,8,0.035,3.5,2100,,16,0.074,7.4,32.50%,32.5
JUL THRU SEP,Midwest,MINNESOTA,2015,640,32000,0.24,7.4,0.074,133000,,0.07,7,0.146,14.6,24,0.274,27.4,2300,,2,0.072,7.2,33.30%,33.3
JUL THRU SEP,West,UTAH,2018,970,4400,0.15,0.1,0.001,30000,,0.01,1,0.155,15.5,15,0.002,0.2,1400,,5,0.007,0.7,34.00%,34
JUL THRU SEP,West,WASHINGTON,2021,4300,4900,0.06,4.9,0.049,72000,1500,0.127,12.7,0.022,2.2,6,0.023,2.3,15500,,20,0.016,1.6,34.30%,34.3
JUL THRU SEP,West,ARIZONA,2020,2600,8000,0.27,1.9,0.019,28000,5500,0.093,9.3,,,27,0.017,1.7,1800,,6,0.122,12.2,24.10%,24.1
JAN THRU MAR,Northeast,NEW YORK,2021,2600,4900,0.16,0.6,0.006,30000,1800,0.057,5.7,0.039,3.9,16,0.005,0.5,380,,1,0.048,4.8,15.00%,15
JAN THRU MAR,West,OREGON,2017,7500,8000,0.09,10.1,0.101,71000,,0.154,15.4,0.085,8.5,9,0.091,9.1,1400,,2,0.085,8.5,28.70%,28.7
APR THRU JUN,West,NEW MEXICO,2020,400,1000,0.17,,,3100,0,,,,,17,,,40,,1,,,3.00%,3
OCT THRU DEC,Northeast,CONNECTICUT,2019,10,300,0.08,2.4,0.024,3800,10,0.017,1.7,0.111,11.1,8,0,0,50,,1,0.016,1.6,22.20%,22.2
JUL THRU SEP,Midwest,ILLINOIS,2019,460,940,0.07,0.7,0.007,13500,100,0.055,5.5,0.083,8.3,7,0.025,2.5,1300,,10,0.115,11.5,35.90%,35.9
OCT THRU DEC,West,MONTANA,2018,3100,5500,0.05,5.6,0.056,98000,,0.029,2.9,0.13,13,5,0.175,17.5,500,,,,,40.70%,40.7
OCT THRU DEC,West,NEW MEXICO,2021,2000,1900,0.35,0,0,5500,0,,,0.444,44.4,35,0.141,14.1,,,0,0.007,0.7,65.60%,65.6
JUL THRU SEP,West,CALIFORNIA,2018,63000,73000,0.1,4.5,0.045,590000,,0.12,12,0.066,6.6,10,0.178,17.8,141000,,20,0.036,3.6,57.30%,57.3
JUL THRU SEP,West,IDAHO,2019,8500,10500,0.09,21.7,0.217,95000,1100,0.185,18.5,0.154,15.4,9,0.099,9.9,12500,,11,0.008,0.8,59.90%,59.9
JUL THRU SEP,Northeast,VERMONT,2019,80,120,0.02,0.7,0.007,7000,10,0.005,0.5,0.043,4.3,2,0,0,490,,7,0.001,0.1,22.20%,22.2
OCT THRU DEC,Midwest,WISCONSIN,2017,530,8500,0.15,33.1,0.331,51000,,0.153,15.3,0.369,36.9,15,0.228,22.8,3000,,5,0.152,15.2,53.10%,53.1
OCT THRU DEC,West,OREGON,2021,680,10500,0.1,8.7,0.087,103000,6000,0.013,1.3,0.233,23.3,10,0.02,2,29000,,28,,,28.80%,28.8
OCT THRU DEC,Midwest,ILLINOIS,2016,0,720,0.08,1.2,0.012,9000,,0.039,3.9,0.117,11.7,8,0.056,5.6,0,,0,0.048,4.8,27.80%,27.8
JAN THRU MAR,West,MONTANA,2019,1700,3500,0.05,0,0,37000,620,0.008,0.8,,,5,0.008,0.8,1900,,3,0.011,1.1,15.10%,15.1
OCT THRU DEC,Northeast,MASSACHUSETTS,2021,20,290,0.03,0.5,0.005,10500,20,,,,,3,0,0,50,,,0.006,0.6,5.40%,5.4
OCT THRU DEC,West,IDAHO,2016,5000,15500,0.11,4.8,0.048,121000,,0.042,4.2,0.008,0.8,11,0.002,0.2,420,,0,0.03,3,31.90%,31.9
JUL THRU SEP,Northeast,CONNECTICUT,2020,130,300,0.06,0,0,4700,80,0.04,4,0.014,1.4,6,0,0,150,,3,0,0,20.20%,20.2
OCT THRU DEC,Northeast,MASSACHUSETTS,2016,0,740,0.09,0.4,0.004,8000,,0.007,0.7,0.026,2.6,9,0.004,0.4,0,,0,0.042,4.2,6.10%,6.1
APR THRU JUN,South,LOUISIANA,2021,8000,2300,0.08,,,29000,230,0.106,10.6,0.037,3.7,8,,,2000,,7,0.009,0.9,29.10%,29.1
OCT THRU DEC,South,TEXAS,2021,2100,23000,0.08,1.2,0.012,146000,2600,0.041,4.1,0.083,8.3,8,0.098,9.8,1700,,1,0.055,5.5,19.40%,19.4
JUL THRU SEP,South,VIRGINIA,2015,520,680,0.09,1.3,0.013,8000,,0.035,3.5,0.142,14.2,9,0.037,3.7,220,,3,0.089,8.9,29.00%,29
APR THRU JUN,West,WASHINGTON,2022,12500,6000,0.06,4.3,0.043,97000,2000,0.142,14.2,0.073,7.3,6,0.034,3.4,23000,,21,0.016,1.6,50.80%,50.8
JUL THRU SEP,South,LOUISIANA,2017,14500,13500,0.21,0.3,0.003,64000,,0.04,4,0.745,74.5,21,0.016,1.6,34000,,53,0.149,14.9,59.20%,59.2
JUL THRU SEP,Northeast,NEW YORK,2021,2200,5500,0.08,3,0.03,62000,2200,0.118,11.8,0.141,14.1,8,0.056,5.6,5000,,7,0.112,11.2,37.70%,37.7
JUL THRU SEP,Midwest,WISCONSIN,2017,6000,12500,0.17,18.5,0.185,74000,,0.13,13,0.21,21,17,0.218,21.8,9000,,12,0.121,12.1,61.60%,61.6
JUL THRU SEP,Midwest,KANSAS,2016,310,2600,0.33,14.1,0.141,8000,,0.045,4.5,0.255,25.5,33,0.291,29.1,190,,2,0.026,2.6,42.80%,42.8
